Year,Milk Production,,,,
1980,1620,,,,
1984,2110,,,,
1985,2466,,,,
1988,2800,,,,
1989,3266,,,,
1990,3736,,,,
1991,3955,,,,
1992,4222,,,,
1993,4506,,,,
1994,4810,,,,
1995,4790,,,,
1996,4820,,,,
1997,5193,,,,
1998,5609,,,,
1999,5707,,,,
2000,5849,,,,
2001,6094,,,,
2002,6238,,,,
2003,6379,,,,
2004,6567,,,,
2005,6769,,,,
2006,6978,,,,
2007,7210,,,,
2008,7455,,,,
2009,7679,,,,
2010,7939,,,,
2011,8200,,,,
2012,8733,,,,
2013,9089,,,,
2014,9542,,,,
2015,10152,,,,
2016,10402,,,,
2017,11102,,,,
2018,11655,,,,
2019,12024,,,,
2020,13703,,,,
2021,14304,,,,
2022,15041,,,,
